type_shoes,price,address,image_link
Chaussures enfant,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2343446_uploaded_image1_1593072299.jpg
"Claquettes Adidas pointures 4 à 12,",6 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2223255_uploaded_image1_1591218580.jpg
Chaussures enfant,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2139905_uploaded_image1_1589903622.26.jpeg
Chaussures enfants,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2139901_uploaded_image1_1589903540.0.jpeg
Chaussures enfant,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2139896_uploaded_image1_1589903477.64.jpeg
Chaussures enfant,6 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2139893_uploaded_image1_1589903443.03.jpeg
Chaussures pour enfants,4 000CFA,"Le plateau, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2129412_uploaded_image1_1589740711.jpg
Chaussures Enfants,4 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2129410_uploaded_image1_1589740637.jpg
Tapettes  enfant,4 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2129397_uploaded_image1_1589740468.jpg
Chaussures enfants,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2085840_uploaded_image1_1589047286.jpg
Chaussures enfant,2 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2073770_uploaded_image1_1588862919.jpg
Chaussures enfant,5 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1836362_uploaded_image1_1584967244.08.png
Chaussures enfant,5 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1836344_uploaded_image1_1584967071.34.png
Chaussures enfant fille,5 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1836000_uploaded_image1_1584964570.05.png
