type_clothes,price,address,image_link
Vêtements bébé,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2567371_uploaded_image1_1598119015.jpg
Robes,3 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2550928_uploaded_image1_1597675716.jpg
Chemises enfant,2 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2550911_uploaded_image1_1597675543.jpg
Vêtements enfants,5 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2550882_uploaded_image1_1597674932.jpg
Couverture en polyester pour bébé,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2549809_uploaded_image1_1597656459.jpg
Vêtements enfants,10 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2543924_uploaded_image1_1597430834.jpg
Robes enfants,3 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2542339_uploaded_image1_1597397204.jpg
Pull enfant,6 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2539652_uploaded_image1_1597317220.jpg
Pyjama enfants,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2534065_uploaded_image1_1597157004.jpg
Pantalon enfant,8 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2533547_uploaded_image1_1597149322.jpg
Robes & chaussures enfants,8 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2530407_uploaded_image1_1597073774.jpg
Bandoulière et chapeau enfant,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2514519_uploaded_image1_1596621575.jpg
Sac en bandoulière et chapeau enfant,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2514513_uploaded_image1_1596621523.jpg
Sac en bandoulière et chapeau enfant,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2514501_uploaded_image1_1596621443.jpg
Sac en bandoulière et chapeau enfant,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2514497_uploaded_image1_1596621376.jpg
Sac en bandoulière et chapeau enfant,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2514490_uploaded_image1_1596621316.jpg
Ensemble tenue garçon,12 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2514481_uploaded_image1_1596621220.jpg
Ensemble  garçon,12 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2514480_uploaded_image1_1596621163.jpg
Ensemble garçon,12 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2514475_uploaded_image1_1596621091.jpg
Robe,1 000CFA,"Bouaké, Côte d'Ivoire",https://images.coinafrique.com/thumb_2513047_uploaded_image1_1596574135.jpg
Robe enfant,4 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2499696_uploaded_image1_1596140307.jpg
Costumes enfants,12 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3445224_uploaded_image1_1637316670.jpg
Costume 3 pièces enfant,30 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3439204_uploaded_image2_1636996654.jpeg
T-shirts enfant,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3438884_uploaded_image1_1636983885.jpg
Polo enfants,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3425060_uploaded_image1_1636223313.jpg
Robe enfants,5 000CFA,"Bouaké, Côte d'Ivoire",https://images.coinafrique.com/thumb_3423646_uploaded_image2_1636195050.jpeg
Pantalon enfant,1 000CFA,"Yamoussoukro, Yamoussoukro, Côte d'Ivoire",https://images.coinafrique.com/thumb_3420636_uploaded_image1_1636030381.jpg
Grenouillère bébé,2 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3412172_uploaded_image1_1635688730.jpg
T-shirt Polo,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3409586_uploaded_image1_1635505851.jpg
Friperie,Prix sur demande,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3408049_uploaded_image1_1635418219.jpg
Costume enfant,30 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3406850_uploaded_image1_1635350748.jpg
Robe enfant,3 500CFA,"Bouaké, Côte d'Ivoire",https://images.coinafrique.com/thumb_3395535_uploaded_image1_1634746923.jpg
T-shirt élèves,1 500CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3392098_uploaded_image1_1634579618.jpg
Costume enfant,30 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3378959_uploaded_image1_1633887056.jpg
Vêtements Enfants,30 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3368490_uploaded_image1_1633399182.jpg
Robe Enfant,15 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3358819_uploaded_image1_1632957429.jpg
Vêtement Enfant,15 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3358813_uploaded_image1_1632957194.jpg
